																	Pm2.5	time		
5	6	6	5	6	6	774	254	21	1	0	0	0	400	14239	19458		6	0	0	0
4	6	6	4	6	6	756	246	19	1	0	0	0	400	14270	19457		6	1	5	0.083333333
4	5	6	4	5	6	756	246	18	1	0	0	0	400	14276	19459		5	2	10	0.166666667
4	5	6	4	5	6	768	244	13	1	0	0	0	400	14281	19469		5	3	15	0.25
4	4	4	4	4	4	708	224	9	0	0	0	0	400	14285	19478		4	4	20	0.333333333
4	4	4	4	4	4	714	228	8	0	0	0	0	400	14280	19469		4	5	25	0.416666667
4	4	4	4	4	4	618	198	8	0	0	0	0	400	14287	19479		4	6	30	0.5
4	4	4	4	4	4	624	200	8	0	0	0	0	400	14289	19480		4	7	35	0.583333333
4	4	4	4	4	4	672	216	11	0	0	0	3	412	14286	19470		4	8	40	0.666666667
4	4	4	4	4	4	624	204	11	0	0	0	7	408	14286	19481		4	9	45	0.75
4	4	4	4	4	4	606	196	10	0	0	0	6	400	14301	19482		4	10	50	0.833333333
4	4	4	4	4	4	660	212	11	0	0	0	5	405	14294	19486		4	11	55	0.916666667
4	4	4	4	4	4	696	222	10	0	0	0	2	400	14305	19489		4	12	60	1
4	5	5	4	5	5	720	228	14	0	0	0	8	401	14303	19502		5	13	65	1.083333333
2	2	3	2	2	3	528	164	13	1	1	1	0	400	14277	19498		2	14	70	1.166666667
4	5	5	4	5	5	684	218	26	0	0	0	0	400	14268	19303		5	15	75	1.25
19	24	25	19	24	25	2616	839	110	1	1	1	27	426	14245	19257		24	16	80	1.333333333
17	20	20	17	20	20	2172	698	92	1	0	0	117	549	14145	19124		20	17	85	1.416666667
11	13	14	11	13	14	1509	481	57	1	1	1	20	500	14189	19283		13	18	90	1.5
8	13	14	8	13	14	1386	444	80	1	1	1	87	522	14170	19169		13	19	95	1.583333333
6	8	8	6	8	8	1065	339	49	0	0	0	60	526	14165	19207		8	20	100	1.666666667
7	8	8	7	8	8	1008	326	21	1	1	0	51	538	14155	19233		8	21	105	1.75
6	6	6	6	6	6	885	282	12	0	0	0	38	438	14224	19237		6	22	110	1.833333333
8	9	9	8	9	9	1215	377	34	0	0	0	25	489	14189	19258		9	23	115	1.916666667
6	8	8	6	8	8	1059	339	39	1	0	0	41	512	14163	19231		8	24	120	2
6	7	7	6	7	7	972	310	26	0	0	0	41	537	14153	19228		7	25	125	2.083333333
7	8	9	7	8	9	1071	339	28	1	1	1	40	537	14154	19240		8	26	130	2.166666667
5	6	6	5	6	6	819	259	23	0	0	0	39	538	14160	19255		6	27	135	2.25
6	6	6	6	6	6	873	275	19	0	0	0	62	557	14149	19222		6	28	140	2.333333333
5	5	5	5	5	5	744	238	10	0	0	0	7	511	14170	19278		5	29	145	2.416666667
7	8	8	7	8	8	1023	326	23	0	0	0	7	478	14201	19287		8	30	150	2.5
6	6	8	6	6	8	849	267	18	2	2	2	14	501	14172	19277		6	31	155	2.583333333
6	7	7	6	7	7	942	305	32	0	0	0	17	508	14176	19273		7	32	160	2.666666667
6	7	8	6	7	8	912	282	38	1	0	0	8	489	14189	19293		7	33	165	2.75
6	7	7	6	7	7	939	301	23	0	0	0	6	491	14184	19281		7	34	170	2.833333333
8	9	10	8	9	10	1155	361	28	1	1	1	6	488	14194	19286		9	35	175	2.916666667
6	7	7	6	7	7	1071	333	36	0	0	0	23	527	14161	19286		7	36	180	3
6	7	7	6	7	7	954	290	25	0	0	0	28	572	14122	19246		7	37	185	3.083333333
8	8	10	8	8	10	1104	346	16	3	3	1	16	550	14143	19286		8	38	190	3.166666667
7	7	7	7	7	7	1053	339	23	0	0	0	1	522	14159	19294		7	39	195	3.25
6	6	7	6	6	7	1035	322	24	1	1	0	0	499	14177	19305		6	40	200	3.333333333
7	7	9	7	7	9	1071	335	18	2	2	2	0	518	14162	19302		7	41	205	3.416666667
5	6	7	5	6	7	927	291	38	1	1	1	0	472	14204	19318		6	42	210	3.5
5	6	6	5	6	6	840	272	18	0	0	0	0	449	14215	19329		6	43	215	3.583333333
7	7	7	7	7	7	942	308	21	0	0	0	0	455	14211	19326		7	44	220	3.666666667
4	4	4	4	4	4	843	263	10	0	0	0	0	488	14187	19307		4	45	225	3.75
7	7	7	7	7	7	987	310	16	0	0	0	17	545	14155	19293		7	46	230	3.833333333
5	6	6	5	6	6	888	284	20	0	0	0	85	717	14015	19172		6	47	235	3.916666667
5	5	5	5	5	5	849	264	10	0	0	0	22	604	14100	19266		5	48	240	4
4	4	4	4	4	4	654	204	23	0	0	0	6	579	14125	19283		4	49	245	4.083333333
4	5	6	4	5	6	720	230	22	1	1	1	0	522	14163	19325		5	50	250	4.166666667
3	4	5	3	4	5	720	232	19	1	1	1	0	494	14183	19338		4	51	255	4.25
5	6	6	5	6	6	822	262	21	0	0	0	0	449	14214	19334		6	52	260	4.333333333
5	6	6	5	6	6	849	270	21	0	0	0	0	418	14248	19397		6	53	265	4.416666667
5	6	6	5	6	6	888	286	21	0	0	0	0	555	14138	19306		6	54	270	4.5
4	5	5	4	5	5	744	228	22	1	0	0	43	691	14024	19233		5	55	275	4.583333333
4	5	6	4	5	6	789	257	23	1	1	1	187	1417	13712	19022		5	56	280	4.666666667
4	4	5	4	4	5	714	220	6	1	1	1	519	2882	13360	18716		4	57	285	4.75
4	5	5	4	5	5	732	228	19	2	0	0	564	3385	13289	18669		5	58	290	4.833333333
4	4	5	4	4	5	690	226	13	1	1	0	594	3407	13288	18650		4	59	295	4.916666667
5	5	5	5	5	5	774	240	16	0	0	0	594	3461	13276	18662		5	60	300	5
5	5	5	5	5	5	732	236	18	0	0	0	722	3662	13241	18582		5	61	305	5.083333333
4	5	5	4	5	5	723	231	11	0	0	0	705	4101	13175	18610		5	62	310	5.166666667
4	4	4	4	4	4	642	206	12	0	0	0	357	1931	13536	18842		4	63	315	5.25
4	5	7	4	5	7	786	246	11	3	3	1	210	1313	13745	18996		5	64	320	5.333333333
5	6	8	5	6	8	885	289	20	2	2	2	121	858	13904	19119		6	65	325	5.416666667
5	6	7	5	6	7	768	246	29	2	2	2	92	753	13985	19179		6	66	330	5.5
5	6	6	5	6	6	828	260	15	0	0	0	32	606	14093	19253		6	67	335	5.583333333
4	5	6	4	5	6	765	235	20	1	1	1	21	570	14130	19279		5	68	340	5.666666667
5	6	7	5	6	7	786	238	22	1	1	1	0	437	14217	19391		6	69	345	5.75
5	5	5	5	5	5	927	291	13	0	0	0	0	431	14233	19382		5	70	350	5.833333333
7	8	8	7	8	8	1050	335	24	0	0	0	0	446	14221	19373		8	71	355	5.916666667
8	9	9	8	9	9	1131	362	32	0	0	0	0	477	14192	19341		9	72	360	6
8	8	8	8	8	8	1188	378	19	0	0	0	0	460	14205	19320		8	73	365	6.083333333
6	7	7	6	7	7	1080	346	22	0	0	0	0	463	14211	19335		7	74	370	6.166666667
8	9	9	8	9	9	1170	366	44	0	0	0	0	466	14205	19315		9	75	375	6.25
7	8	8	7	8	8	999	317	32	0	0	0	0	453	14217	19348		8	76	380	6.333333333
7	8	9	7	8	9	1050	336	32	2	1	1	0	436	14232	19340		8	77	385	6.416666667
6	7	8	6	7	8	939	305	30	3	1	1	390	2587	13414	18813		7	78	390	6.5
7	7	7	7	7	7	1056	328	14	0	0	0	281	1686	13617	18906		7	79	395	6.583333333
7	7	7	7	7	7	960	300	13	0	0	0	313	1675	13620	18887		7	80	400	6.666666667
6	6	6	6	6	6	867	273	9	0	0	0	397	1834	13568	18811		6	81	405	6.75
4	4	6	4	4	6	789	248	14	2	2	2	432	1996	13510	18788		4	82	410	6.833333333
5	6	7	5	6	7	906	288	17	1	1	0	610	2661	13398	18654		6	83	415	6.916666667
6	6	6	6	6	6	906	286	19	0	0	0	687	2901	13358	18610		6	84	420	7
6	7	9	6	7	9	933	301	32	2	1	1	576	2860	13365	18670		7	85	425	7.083333333
6	7	7	6	7	7	1002	308	23	0	0	0	523	2872	13369	18711		7	86	430	7.166666667
4	4	4	4	4	4	795	247	13	0	0	0	529	2828	13374	18717		4	87	435	7.25
4	5	5	4	5	5	846	274	13	0	0	0	611	2896	13362	18649		5	88	440	7.333333333
5	6	6	5	6	6	936	299	17	0	0	0	605	2975	13347	18653		6	89	445	7.416666667
6	7	8	6	7	8	987	315	19	1	1	1	603	2972	13348	18666		7	90	450	7.5
4	4	4	4	4	4	684	214	4	0	0	0	579	2874	13360	18671		4	91	455	7.583333333
5	6	7	5	6	7	813	259	23	2	1	1	584	2906	13361	18645		6	92	460	7.666666667
6	7	8	6	7	8	909	289	21	2	1	1	592	2884	13355	18656		7	93	465	7.75
4	4	4	4	4	4	777	244	11	0	0	0	603	2906	13352	18655		4	94	470	7.833333333
4	6	6	4	6	6	846	264	39	2	0	0	872	3559	13264	18538		6	95	475	7.916666667
8	8	8	8	8	8	1104	354	29	0	0	0	488	2121	13482	18736		8	96	480	8
7	8	8	7	8	8	1002	326	32	0	0	0	234	1153	13792	18963		8	97	485	8.083333333
6	7	7	6	7	7	963	307	32	0	0	0	139	792	13955	19109		7	98	490	8.166666667
5	5	5	5	5	5	735	231	17	1	0	0	126	731	14015	19130		5	99	495	8.25
7	7	8	7	7	8	960	302	20	1	1	1	88	652	14055	19183		7	100	500	8.333333333
6	7	9	6	7	9	879	280	28	4	2	1	25	471	14205	19277		7	101	505	8.416666667
4	5	5	4	5	5	720	228	14	0	0	0	18	454	14218	19289		5	102	510	8.5
6	7	7	6	7	7	981	302	35	0	0	0	8	453	14229	19309		7	103	515	8.583333333
5	6	6	5	6	6	780	256	20	0	0	0	0	400	14268	19327		6	104	520	8.666666667
5	6	6	5	6	6	807	267	16	1	1	1	0	400	14297	19357		6	105	525	8.75
6	6	6	6	6	6	888	280	11	0	0	0	0	400	14279	19366		6	106	530	8.833333333
5	6	6	5	6	6	774	246	29	0	0	0	0	400	14262	19339		6	107	535	8.916666667
2	3	3	2	3	3	654	202	6	0	0	0	0	400	14294	19366		3	108	540	9
4	4	4	4	4	4	843	269	13	0	0	0	0	400	14300	19376		4	109	545	9.083333333
3	4	4	3	4	4	570	182	14	0	0	0	0	400	14315	19394		4	110	550	9.166666667
3	3	4	3	3	4	612	196	6	1	1	1	0	400	14271	19339		3	111	555	9.25
3	3	3	3	3	3	522	162	15	0	0	0	0	400	14308	19374		3	112	560	9.333333333
2	2	2	2	2	2	432	140	9	1	0	0	0	400	14279	19378		2	113	565	9.416666667
4	5	7	4	5	7	660	214	19	4	2	2	0	473	14199	19376		5	114	570	9.5
3	3	3	3	3	3	546	174	21	0	0	0	0	400	14317	19405		3	115	575	9.583333333
